kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW
ASAP7 RVT,min32,0.7,50,0.043227,2.8087,2.8087,2.8109,2.8108
ASAP7 RVT,min32,0.7,100,0.043227,2.8087,2.8087,2.813,2.813
ASAP7 RVT,min32,0.7,250,0.043227,2.8087,2.8087,2.8195,2.8195
ASAP7 RVT,min32,0.7,500,0.043227,2.8087,2.8087,2.8303,2.8303
ASAP7 RVT,min32,0.7,1000,0.043227,2.8087,2.8087,2.8519,2.8519
ASAP7 RVT,min16,0.7,1,0.02553,1.5199,1.5199,1.5199,1.5199
ASAP7 RVT,min16,0.7,2,0.02553,1.5199,1.5199,1.52,1.52
ASAP7 RVT,min16,0.7,5,0.02553,1.5199,1.5199,1.52,1.52
ASAP7 RVT,min16,0.7,10,0.02553,1.5199,1.5199,1.5202,1.5202
ASAP7 RVT,min16,0.7,20,0.02553,1.5199,1.5199,1.5204,1.5204
ASAP7 RVT,min16,0.7,50,0.02553,1.5199,1.5199,1.5212,1.5212
ASAP7 RVT,min16,0.7,100,0.02553,1.5199,1.5199,1.5225,1.5225
ASAP7 RVT,min16,0.7,250,0.02553,1.5199,1.5199,1.5263,1.5263
ASAP7 RVT,min16,0.7,500,0.02553,1.5199,1.5199,1.5327,1.5327
ASAP7 RVT,min16,0.7,1000,0.02553,1.5199,1.5199,1.5454,1.5454
ASAP7 SRAM-Vt (low leakage),sp,0.7,1,0.046471,0.71875,0.71873,0.7188,0.71878
ASAP7 SRAM-Vt (low leakage),sp,0.7,2,0.046471,0.71875,0.71873,0.71884,0.71882
ASAP7 SRAM-Vt (low leakage),sp,0.7,5,0.046471,0.71875,0.71873,0.71898,0.71896
ASAP7 SRAM-Vt (low leakage),sp,0.7,10,0.046471,0.71875,0.71873,0.71921,0.7192
ASAP7 SRAM-Vt (low leakage),sp,0.7,20,0.046471,0.71875,0.71873,0.71968,0.71966
ASAP7 SRAM-Vt (low leakage),sp,0.7,50,0.046471,0.71875,0.71873,0.72107,0.72105
ASAP7 SRAM-Vt (low leakage),sp,0.7,100,0.046471,0.71875,0.71873,0.7234,0.72338
ASAP7 SRAM-Vt (low leakage),sp,0.7,250,0.046471,0.71875,0.71873,0.73037,0.73035
ASAP7 SRAM-Vt (low leakage),sp,0.7,500,0.046471,0.71875,0.71873,0.74199,0.74197
ASAP7 SRAM-Vt (low leakage),sp,0.7,1000,0.046471,0.71875,0.71873,0.76522,0.7652
ASAP7 SRAM-Vt (low leakage),m12,0.7,1,0.05028,0.8426,0.84258,0.84265,0.84263
ASAP7 SRAM-Vt (low leakage),m12,0.7,2,0.05028,0.8426,0.84258,0.8427,0.84268
ASAP7 SRAM-Vt (low leakage),m12,0.7,5,0.05028,0.8426,0.84258,0.84285,0.84283
ASAP7 SRAM-Vt (low leakage),m12,0.7,10,0.05028,0.8426,0.84258,0.8431,0.84308
ASAP7 SRAM-Vt (low leakage),m12,0.7,20,0.05028,0.8426,0.84258,0.84361,0.84358
ASAP7 SRAM-Vt (low leakage),m12,0.7,50,0.05028,0.8426,0.84258,0.84512,0.84509
ASAP7 SRAM-Vt (low leakage),m12,0.7,100,0.05028,0.8426,0.84258,0.84763,0.8476
ASAP7 SRAM-Vt (low leakage),m12,0.7,250,0.05028,0.8426,0.84258,0.85517,0.85515
ASAP7 SRAM-Vt (low leakage),m12,0.7,500,0.05028,0.8426,0.84258,0.86774,0.86772
ASAP7 SRAM-Vt (low leakage),m12,0.7,1000,0.05028,0.8426,0.84258,0.89288,0.89286
ASAP7 SRAM-Vt (low leakage),min32,0.7,1,0.044992,0.62498,0.62497,0.62502,0.62501
ASAP7 SRAM-Vt (low leakage),min32,0.7,2,0.044992,0.62498,0.62497,0.62507,0.62506
ASAP7 SRAM-Vt (low leakage),min32,0.7,5,0.044992,0.62498,0.62497,0.6252,0.62519
ASAP7 SRAM-Vt (low leakage),min32,0.7,10,0.044992,0.62498,0.62497,0.62543,0.62542
ASAP7 SRAM-Vt (low leakage),min32,0.7,20,0.044992,0.62498,0.62497,0.62588,0.62587
ASAP7 SRAM-Vt (low leakage),min32,0.7,50,0.044992,0.62498,0.62497,0.62723,0.62722
ASAP7 SRAM-Vt (low leakage),min32,0.7,100,0.044992,0.62498,0.62497,0.62948,0.62947
ASAP7 SRAM-Vt (low leakage),min32,0.7,250,0.044992,0.62498,0.62497,0.63622,0.63621
ASAP7 SRAM-Vt (low leakage),min32,0.7,500,0.044992,0.62498,0.62497,0.64747,0.64746
ASAP7 SRAM-Vt (low leakage),min32,0.7,1000,0.044992,0.62498,0.62497,0.66997,0.66996
ASAP7 SRAM-Vt (low leakage),min16,0.7,1,0.02536,0.34345,0.34345,0.34347,0.34347
ASAP7 SRAM-Vt (low leakage),min16,0.7,2,0.02536,0.34345,0.34345,0.3435,0.3435
ASAP7 SRAM-Vt (low leakage),min16,0.7,5,0.02536,0.34345,0.34345,0.34358,0.34358
ASAP7 SRAM-Vt (low leakage),min16,0.7,10,0.02536,0.34345,0.34345,0.3437,0.3437
ASAP7 SRAM-Vt (low leakage),min16,0.7,20,0.02536,0.34345,0.34345,0.34396,0.34396
ASAP7 SRAM-Vt (low leakage),min16,0.7,50,0.02536,0.34345,0.34345,0.34472,0.34472
ASAP7 SRAM-Vt (low leakage),min16,0.7,100,0.02536,0.34345,0.34345,0.34598,0.34598
ASAP7 SRAM-Vt (low leakage),min16,0.7,250,0.02536,0.34345,0.34345,0.34979,0.34979
ASAP7 SRAM-Vt (low leakage),min16,0.7,500,0.02536,0.34345,0.34345,0.35613,0.35613
ASAP7 SRAM-Vt (low leakage),min16,0.7,1000,0.02536,0.34345,0.34345,0.36881,0.36881
