kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
GlobalFoundries GF180MCU,min16,5.0,50,32.112,1.7779,1.36,3.3834,2.9656,sdf_w5000
GlobalFoundries GF180MCU,min16,5.0,100,32.112,1.7779,1.36,4.989,4.5712,sdf_w5000
GlobalFoundries GF180MCU,min16,5.0,250,32.112,1.7779,1.36,9.8058,9.3879,sdf_w5000
GlobalFoundries GF180MCU,min16,5.0,500,32.112,1.7779,1.36,17.834,17.416,sdf_w5000
GlobalFoundries GF180MCU,min16,5.0,1000,32.112,1.7779,1.36,33.89,33.472,sdf_w5000
GlobalFoundries GF180MCU,lmin2,5.0,1,80.297,49.616,32.508,49.696,32.588,func_200
GlobalFoundries GF180MCU,lmin2,5.0,2,80.297,49.616,32.508,49.776,32.669,func_200
GlobalFoundries GF180MCU,lmin2,5.0,5,80.297,49.616,32.508,50.017,32.91,func_200
GlobalFoundries GF180MCU,lmin2,5.0,10,80.297,49.616,32.508,50.419,33.311,func_200
GlobalFoundries GF180MCU,lmin2,5.0,20,80.297,49.616,32.508,51.222,34.114,func_200
GlobalFoundries GF180MCU,lmin2,5.0,50,80.297,49.616,32.508,53.631,36.523,func_200
GlobalFoundries GF180MCU,lmin2,5.0,100,80.297,49.616,32.508,57.645,40.538,func_200
GlobalFoundries GF180MCU,lmin2,5.0,250,80.297,49.616,32.508,69.69,52.582,func_200
GlobalFoundries GF180MCU,lmin2,5.0,500,80.297,49.616,32.508,89.764,72.656,func_200
GlobalFoundries GF180MCU,lmin2,5.0,1000,80.297,49.616,32.508,129.91,112.8,func_200
GlobalFoundries GF180MCU,g32p50,5.0,1,29.25,2.7655,1.926,2.7948,1.9553,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,2,29.25,2.7655,1.926,2.824,1.9845,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,5,29.25,2.7655,1.926,2.9118,2.0723,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,10,29.25,2.7655,1.926,3.058,2.2185,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,20,29.25,2.7655,1.926,3.3505,2.511,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,50,29.25,2.7655,1.926,4.228,3.3885,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,100,29.25,2.7655,1.926,5.6905,4.851,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,250,29.25,2.7655,1.926,10.078,9.2385,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,500,29.25,2.7655,1.926,17.391,16.551,sdf_w5000
GlobalFoundries GF180MCU,g32p50,5.0,1000,29.25,2.7655,1.926,32.016,31.176,sdf_w5000
